fuelType,rating,renterTripsTaken,reviewCount,locationcity,locationlatitude,locationlongitude,locationstate,ownerid,vehiclemake,vehiclemodel,vehicletype,vehicleyear
2,5.0,7,7,630,44.995135,-93.499125,23,5935896,31,280,0,2014
1,5.0,10,6,694,32.748812,-117.139546,4,888722,48,288,2,2018
2,5.0,15,15,126,33.245417,-111.793479,3,8030281,33,164,2,2015
2,5.0,100,85,348,40.735036,-74.029647,30,1275890,17,301,1,2014
2,5.0,1,1,736,39.280356,-75.588338,8,7813336,0,338,2,2014
2,4.94,49,16,502,44.902039,-93.217216,23,2000159,3,412,0,2010
2,4.98,112,93,235,37.915392,-122.308119,4,957100,17,313,2,2017
2,5.0,4,2,657,33.991988,-117.34714,4,15397792,22,452,2,2015
2,5.0,8,6,387,39.078043,-94.567309,24,2448040,17,313,2,2016
2,5.0,10,7,82,27.429729,-82.503575,9,10133270,33,240,2,2014
1,5.0,2,2,9,40.575339,-80.251224,36,14975494,48,286,0,2018
2,4.93,15,14,102,44.743966,-93.268099,23,8935158,22,312,2,2014
2,5.0,1,1,586,28.487182,-81.489137,9,323561,8,390,3,2012
2,5.0,69,53,375,30.334124,-81.793676,9,742089,4,267,0,2016
2,5.0,2,2,715,32.041878,-81.228639,10,4609659,49,66,0,2016
2,4.95,92,88,694,32.82851,-117.133842,4,341900,10,73,0,2015
2,4.67,136,93,415,39.706186,-105.078132,5,2245310,49,387,1,2007
2,4.65,36,31,368,33.953257,-118.373826,4,370916,49,66,0,2015
2,4.95,22,20,176,32.824605,-96.789491,40,5494464,4,266,0,2013
2,5.0,6,5,603,41.354796,-81.771623,33,8422770,38,394,0,2020
1,4.97,34,32,591,41.12061,-96.038646,28,6953809,48,286,0,2019
2,5.0,22,21,786,33.39487,-111.938394,3,2568312,8,401,0,2019
2,5.0,5,5,694,32.726495,-117.194751,4,14566277,6,126,2,2020
2,5.0,21,12,452,34.064072,-118.344813,4,11185437,24,203,0,2019
2,4.8,29,25,707,33.704441,-117.852474,4,400559,10,191,1,2018
2,5.0,148,138,637,45.55269,-122.672408,35,6659719,33,46,0,2018
2,5.0,2,2,703,40.592923,-111.816619,41,4447674,9,307,1,2019
2,5.0,18,17,109,42.290494,-83.434639,22,8854619,8,432,2,2020
2,4.85,76,72,368,33.929155,-118.377254,4,9828768,4,266,0,2016
2,4.87,40,30,222,33.652468,-84.492432,10,7697843,50,221,0,2016
2,4.8,76,64,452,33.971974,-118.378796,4,4087896,18,396,0,2017
2,5.0,12,10,34,39.676855,-104.769997,5,9424882,13,291,0,2016
2,5.0,2,2,183,41.547122,-90.593521,12,9583722,49,9,2,2020
2,4.97,97,78,572,37.816516,-122.279058,4,2280266,4,482,0,2009
3,5.0,45,40,79,40.875556,-111.895411,41,4296228,49,314,0,2012
2,5.0,12,11,526,35.75606,-86.407782,39,11286951,31,265,0,2011
2,5.0,33,29,850,39.772494,-105.08698,5,10374464,46,304,2,2017
1,4.94,23,16,422,36.084424,-115.103355,32,11407719,48,287,0,2013
2,4.75,6,4,455,40.409052,-104.996131,5,3856661,17,301,1,2016
2,5.0,36,34,797,37.760363,-121.554654,4,7232780,13,142,3,2018
2,5.0,1,1,690,29.514077,-98.537003,40,64265,8,128,2,2015
2,4.55,53,38,719,33.466584,-111.896507,3,2525803,18,121,0,2016
2,5.0,37,30,707,33.704216,-117.853595,4,400559,9,307,1,2018
2,5.0,13,12,25,38.895102,-77.140222,42,334173,4,242,0,2016
2,5.0,10,8,29,33.753282,-84.466572,10,1886829,25,351,2,2020
2,4.77,226,183,722,47.626728,-122.346229,43,6359397,17,76,0,2012
2,5.0,34,26,651,39.440558,-119.730985,32,1189935,38,394,0,2017
2,5.0,3,3,133,47.48557,-117.671128,43,3063848,10,73,0,2017
2,4.89,24,18,694,32.726604,-117.197357,4,2263885,4,455,2,2019
2,5.0,1,1,290,37.516892,-121.969135,4,1472763,3,364,0,2012
2,5.0,76,74,483,35.178607,-89.781014,39,546483,4,468,2,2014
2,4.86,73,63,29,33.668797,-84.419681,10,6482788,33,53,0,2016
2,5.0,2,2,371,33.731189,-117.767613,4,2409889,40,71,2,2017
3,4.97,71,65,808,41.827142,-72.485049,6,8566114,49,314,0,2010
2,4.91,52,44,191,39.784333,-104.765653,5,8232362,49,201,2,2018
2,5.0,4,4,17,61.177825,-149.942131,0,14464264,14,480,2,2012
2,5.0,1,1,422,36.122466,-115.1688,32,955786,12,147,0,2007
1,4.8,11,10,339,38.9546,-77.383223,42,9439889,48,287,0,2015
2,5.0,49,39,375,30.332931,-81.792444,9,742089,4,3,0,2015
2,4.5,5,4,389,29.860459,-95.720254,40,9349914,49,66,0,2016
2,4.86,27,22,187,33.721839,-84.169642,10,7363993,8,103,0,2017
2,4.84,244,204,422,36.08115,-115.302489,32,464342,8,99,0,2017
2,5.0,6,6,586,28.513659,-81.46479,9,3158815,17,54,2,2018
2,4.92,131,114,572,37.816328,-122.279359,4,2280266,4,274,0,2011
2,5.0,13,13,858,28.56929,-81.566058,9,11011933,33,53,0,2017
2,4.33,26,15,68,44.86101,-93.230265,23,1300675,10,191,1,2012
2,5.0,19,17,353,21.280173,-157.797528,11,2754690,40,45,0,2008
2,5.0,20,20,73,43.594424,-116.185931,13,9775326,30,184,0,2016
2,5.0,6,6,83,27.919498,-82.271232,9,333121,10,74,0,2014
2,5.0,61,50,35,30.172033,-97.695765,40,2693957,8,128,2,2019
2,5.0,66,54,682,38.605583,-121.539522,4,927200,13,142,3,2018
2,4.97,38,35,618,33.448342,-111.983759,3,4009047,18,434,2,2017
2,4.5,18,16,854,41.718639,-87.945869,14,2578132,50,309,0,2014
1,5.0,43,39,378,40.720396,-74.04016,30,875927,48,286,0,2019
2,4.93,65,57,698,37.333073,-121.896368,4,7985834,33,46,0,2009
2,5.0,12,8,422,36.157283,-115.333857,32,5043236,2,440,0,2006
2,5.0,37,34,859,28.610381,-81.360073,9,4913720,50,36,2,2019
2,5.0,14,11,357,29.745594,-95.465064,40,212695,4,468,2,2012
2,4.89,9,9,29,33.926688,-84.343004,10,511103,8,65,0,2018
2,5.0,4,3,241,38.408412,-121.415073,4,8763918,46,304,2,2013
2,5.0,1,1,489,25.75967,-80.19413,9,864946,4,468,2,2017
2,4.88,68,49,452,33.95549,-118.413858,4,450229,33,46,0,2017
2,5.0,1,1,400,35.929389,-83.982438,39,11130570,21,145,0,2016
2,4.96,224,200,422,36.143431,-115.236397,32,1427288,40,45,0,2013
3,5.0,1,1,371,33.681261,-117.836431,4,1186913,34,168,2,2019
2,4.93,83,69,586,28.430176,-81.312692,9,7342780,4,266,0,2014
2,4.84,111,89,100,37.594019,-122.363683,4,487015,22,192,2,2014
2,5.0,5,5,698,37.406713,-121.940476,4,4631371,3,371,0,2018
3,4.9,149,104,488,29.973901,-90.161561,18,198464,13,49,0,2013
2,5.0,1,1,435,40.922243,-74.3137,30,15729829,22,75,2,2017
2,5.0,5,5,829,28.185402,-82.364792,9,1491768,9,263,0,2015
1,4.36,11,11,619,34.013942,-118.064436,4,9596181,48,287,0,2013
2,4.91,191,160,422,36.075661,-115.113243,32,3484421,4,262,0,2017
