fuelType,rating,renterTripsTaken,reviewCount,location.city,location.latitude,location.longitude,location.state,owner.id,rate.daily,vehicle.make,vehicle.model,vehicle.type,vehicle.year
1,5.0,13,12,722,47.449107,-122.308841,43,12847615,135,48,288,2,2019
1,5.0,2,1,790,35.11106,-106.276551,31,15621242,190,48,288,2,2018
3,4.92,28,24,6,35.127163,-106.566681,31,10199256,35,49,314,0,2012
2,5.0,21,20,6,35.149726,-106.711425,31,9365496,75,13,291,0,2018
2,5.0,3,1,6,35.208659,-106.601008,31,3553565,47,9,380,0,2010
0,5.0,13,12,6,35.068834,-106.576111,31,7815747,58,33,166,2,2012
2,4.42,13,12,6,35.045552,-106.633815,31,3112016,42,14,481,2,2005
2,4.9,12,10,6,35.186542,-106.686481,31,9536762,117,13,136,2,2018
2,5.0,1,1,6,35.061213,-106.629406,31,14893743,102,13,155,0,2016
2,4.76,22,17,6,35.115363,-106.556911,31,11389136,49,13,119,2,2018
2,4.95,23,22,6,35.148891,-106.71102,31,9365496,75,13,142,3,2012
3,4.7,11,10,6,35.121564,-106.598445,31,10199256,35,49,314,0,2012
2,5.0,11,7,6,35.078547,-106.497368,31,9346980,88,50,421,2,2018
3,4.92,51,38,6,35.186381,-106.727808,31,3070318,42,49,39,0,2013
2,4.88,61,56,6,35.161777,-106.535379,31,3092621,42,43,268,0,2011
2,4.5,2,2,6,35.108365,-106.598589,31,14428787,65,41,58,1,2014
2,5.0,23,20,6,35.161964,-106.535441,31,3092621,116,40,72,0,2007
2,4.67,5,3,6,35.049006,-106.617357,31,4112693,119,22,453,2,2018
2,5.0,24,19,709,35.597391,-106.040869,31,1603416,80,13,291,0,2019
2,4.5,4,2,6,35.190108,-106.747581,31,8860306,97,13,138,2,2012
2,4.92,70,52,6,35.153704,-106.67937,31,911080,41,37,360,2,2016
1,5.0,3,1,6,35.213677,-106.724059,31,1269071,171,48,287,0,2015
2,4.72,20,18,709,35.648967,-106.046019,31,6744409,50,10,74,0,2014
2,4.85,61,46,709,35.597415,-106.042253,31,1603416,49,50,221,0,2019
2,4.82,18,11,709,35.648514,-106.045212,31,6744409,39,18,396,0,2016
2,4.8,63,54,656,35.223908,-106.675636,31,293620,28,8,215,0,2010
2,5.0,21,19,6,35.163908,-106.577477,31,2565503,32,18,28,0,2015
2,5.0,21,20,6,35.164391,-106.577068,31,2565503,28,13,154,0,2010
2,5.0,3,3,249,33.534464,-82.120888,10,7697716,112,49,383,2,2016
2,5.0,21,19,33,33.367664,-81.966226,10,11515981,87,33,168,2,2016
2,5.0,9,8,33,33.368491,-81.96643,10,11515981,47,13,150,0,2019
2,5.0,9,8,33,33.483601,-82.110307,10,14931796,42,10,223,2,2019
3,5.0,5,3,249,33.545897,-82.197674,10,9709583,130,26,113,0,2015
2,5.0,1,1,33,33.513423,-82.027434,10,15162374,115,7,25,0,2015
2,4.5,3,2,51,33.501183,-81.907672,38,2842845,85,26,213,0,2015
2,4.58,27,19,222,33.653209,-84.492165,10,7697843,24,52,484,0,2010
2,5.0,52,44,29,33.640717,-84.42758,10,6025007,144,25,351,2,2016
1,4.83,8,6,200,33.903748,-84.280355,10,53029,146,48,286,0,2020
2,4.94,34,33,222,33.653768,-84.492429,10,7868475,125,40,12,0,2017
2,5.0,12,10,316,33.906905,-83.960234,10,1295660,175,33,363,0,2015
2,5.0,2,2,29,33.891295,-84.453929,10,12796797,200,4,10,0,2018
2,4.93,18,14,29,33.903877,-84.277873,10,53029,98,34,46,0,2019
2,4.89,94,80,29,33.927403,-84.342767,10,511103,150,40,308,0,2011
2,4.85,134,110,200,33.887491,-84.309188,10,53029,99,33,167,2,2017
2,4.87,40,30,222,33.652468,-84.492432,10,7697843,42,50,221,0,2016
2,4.89,40,35,256,33.53956,-84.577374,10,11311856,48,0,243,2,2014
1,5.0,15,11,29,33.746442,-84.372238,10,2253859,134,48,286,0,2018
